provider,modelName,apiKey,priority,status,scope,category,lastTestStatus,createdAt
Tencent,hunyuan-standard,,1,活跃,通用,文本,untested,2025-10-29T11:38:57.137Z
Tencent,hunyuan-pro,,2,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Tencent,hunyuan-lite,,3,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Tencent,hunyuan-turbo,,4,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
OpenAI,gpt-4o,,5,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
OpenAI,gpt-4o-mini,,6,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
OpenAI,gpt-4-turbo,,7,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
OpenAI,gpt-4,,8,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
OpenAI,gpt-3.5-turbo,,9,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
OpenAI,gpt-3.5-turbo-16k,,10,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Anthropic,claude-3-opus-20240229,,11,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Anthropic,claude-3-sonnet-20240229,,12,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Anthropic,claude-3-haiku-20240307,,13,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Anthropic,claude-3-5-sonnet-20240620,,14,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Google,gemini-1.5-pro-latest,,15,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Google,gemini-1.5-flash-latest,,16,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Google,gemini-1.5-pro,,17,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Google,gemini-1.5-flash,,18,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Google,gemini-pro,,19,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Google,gemini-pro-vision,,20,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
DeepSeek,deepseek-chat,,21,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
DeepSeek,deepseek-coder,,22,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Baichuan,Baichuan2-Turbo,,23,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Baichuan,Baichuan2-Turbo-192k,,24,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Baichuan,Baichuan-Text-Embedding,,25,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Moonshot,moonshot-v1-8k,,26,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Moonshot,moonshot-v1-32k,,27,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Moonshot,moonshot-v1-128k,,28,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Alibaba,qwen-turbo,,29,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Alibaba,qwen-plus,,30,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Alibaba,qwen-max,,31,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Alibaba,qwen-max-longcontext,,32,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Zhipu,glm-4,,33,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Zhipu,glm-3-turbo,,34,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Zhipu,glm-4v,,35,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
Zhipu,zhipu-xl,,36,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
智谱GLM,glm-4-plus,,37,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
智谱GLM,glm-4-air,,38,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
智谱GLM,glm-4-airx,,39,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
智谱GLM,glm-4-flash,,40,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
MiniMax,abab6.5-chat,,41,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
MiniMax,abab6.5s-chat,,42,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
MiniMax,abab5.5-chat,,43,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
阶跃星辰,step-1-8k,,44,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
阶跃星辰,step-1-32k,,45,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
阶跃星辰,step-1-128k,,46,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
字节跳动,Doubao-lite-4k,,47,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
字节跳动,Doubao-lite-32k,,48,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
字节跳动,Doubao-pro-4k,,49,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
字节跳动,Doubao-pro-32k,,50,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
讯飞星火,general,,51,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
讯飞星火,generalv2,,52,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
讯飞星火,generalv3,,53,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
讯飞星火,pro-128k,,54,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
百度文心一言,ernie-4.0,,55,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
百度文心一言,ernie-3.5-8k,,56,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
百度文心一言,ernie-lite-8k,,57,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
百度文心一言,ernie-tiny-8k,,58,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
华为云,mindstudio-v1.0,,59,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
华为云,mindstudio-v2.0,,60,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,groq/llama3-70b-8192,,61,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,groq/llama3-8b-8192,,62,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,groq/gemma-7b-it,,63,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,ollama/llama3,,64,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,ollama/llama3-8b,,65,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,anthropic/claude-3-opus-20240229,,66,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,anthropic/claude-3-sonnet-20240229,,67,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
LiteLLM,anthropic/claude-3-haiku-20240307,,68,活跃,通用,文本,untested,2025-10-29T11:38:57.138Z
